file_name,grid_images,text
train/1233.jpg,grid_images/IKEA_MUDDUS_grid.png,3 by 3 grid of images from 9 different camera angles
train/0481.jpg,grid_images/IKEA_DOCKSTA_grid.png,3 by 3 grid of images from 9 different camera angles
train/0083.png,grid_images/IKEA_TOBIAS_grid.png,3 by 3 grid of images from 9 different camera angles
train/0353.jpg,grid_images/SS_032_grid.png,3 by 3 grid of images from 9 different camera angles
train/2011.jpg,grid_images/IKEA_INGOLF_grid.png,3 by 3 grid of images from 9 different camera angles
train/0503.jpg,grid_images/IKEA_LEIRVIK_grid.png,3 by 3 grid of images from 9 different camera angles
train/2380.jpg,grid_images/IKEA_KAUSTBY_grid.png,3 by 3 grid of images from 9 different camera angles
train/0205.jpg,grid_images/SS_012_grid.png,3 by 3 grid of images from 9 different camera angles
train/0661.jpg,grid_images/IKEA_KARLSTAD_4_grid.png,3 by 3 grid of images from 9 different camera angles
train/1606.jpg,grid_images/IKEA_SKOGABY_grid.png,3 by 3 grid of images from 9 different camera angles
train/3402.jpg,grid_images/IKEA_STEFAN_grid.png,3 by 3 grid of images from 9 different camera angles
train/0468.jpg,grid_images/IKEA_DOCKSTA_grid.png,3 by 3 grid of images from 9 different camera angles
train/0136.jpg,grid_images/IKEA_DOMBAS_grid.png,3 by 3 grid of images from 9 different camera angles
train/0479.jpg,grid_images/IKEA_KARLSTAD_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/1507.jpg,grid_images/SS_182_grid.png,3 by 3 grid of images from 9 different camera angles
train/1852.jpg,grid_images/IKEA_TIDAFORS_grid.png,3 by 3 grid of images from 9 different camera angles
train/1177.jpg,grid_images/IKEA_KLIPPAN_3_grid.png,3 by 3 grid of images from 9 different camera angles
train/1256.jpg,grid_images/IKEA_LYCKSELE_grid.png,3 by 3 grid of images from 9 different camera angles
train/0951.jpg,grid_images/IKEA_KLINGSBO_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/3542.jpg,grid_images/IKEA_TOBIAS_grid.png,3 by 3 grid of images from 9 different camera angles
train/0445.jpg,grid_images/IKEA_DOCKSTA_grid.png,3 by 3 grid of images from 9 different camera angles
train/0421.jpg,grid_images/SS_044_grid.png,3 by 3 grid of images from 9 different camera angles
train/0813.jpg,grid_images/IKEA_ISALA_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/3481.jpg,grid_images/IKEA_STEFAN_grid.png,3 by 3 grid of images from 9 different camera angles
train/0971.jpg,grid_images/SS_120_grid.png,3 by 3 grid of images from 9 different camera angles
train/1367.jpg,grid_images/SS_164_grid.png,3 by 3 grid of images from 9 different camera angles
train/1413.jpg,grid_images/IKEA_NORDEN_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/0892.jpg,grid_images/IKEA_NORDLI_grid.png,3 by 3 grid of images from 9 different camera angles
train/0783.jpg,grid_images/IKEA_KIVIK_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/0168.jpg,grid_images/IKEA_HEMNES_grid.png,3 by 3 grid of images from 9 different camera angles
train/1809.jpg,grid_images/IKEA_EKTORP_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/0278.jpg,grid_images/IKEA_EKTORP_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/1043.jpg,grid_images/IKEA_LACK_3_grid.png,3 by 3 grid of images from 9 different camera angles
train/1435.jpg,grid_images/IKEA_MANSTAD_grid.png,3 by 3 grid of images from 9 different camera angles
train/1676.jpg,grid_images/IKEA_UTBY_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/0325.jpg,grid_images/IKEA_HEMNES_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/0191.jpg,grid_images/IKEA_BJURSTA_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/2469.jpg,grid_images/IKEA_KLAPPSTA_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/1532.jpg,grid_images/IKEA_SATER_grid.png,3 by 3 grid of images from 9 different camera angles
train/0886.jpg,grid_images/IKEA_NORDLI_grid.png,3 by 3 grid of images from 9 different camera angles
train/0200.jpg,grid_images/IKEA_BJURSTA_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/1591.jpg,grid_images/IKEA_BERNHARD_grid.png,3 by 3 grid of images from 9 different camera angles
train/0643.jpg,grid_images/IKEA_KARLSTAD_3_grid.png,3 by 3 grid of images from 9 different camera angles
train/0119.jpg,grid_images/IKEA_BJORKUDDEN_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/0478.jpg,grid_images/IKEA_DOCKSTA_grid.png,3 by 3 grid of images from 9 different camera angles
train/1575.jpg,grid_images/IKEA_SKOGABY_grid.png,3 by 3 grid of images from 9 different camera angles
train/1090.jpg,grid_images/SS_133_grid.png,3 by 3 grid of images from 9 different camera angles
train/1258.jpg,grid_images/IKEA_MUDDUS_grid.png,3 by 3 grid of images from 9 different camera angles
train/2880.jpg,grid_images/IKEA_POANG_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/0472.jpg,grid_images/IKEA_HEMNES_3_grid.png,3 by 3 grid of images from 9 different camera angles
train/0736.jpg,grid_images/SS_092_grid.png,3 by 3 grid of images from 9 different camera angles
train/0350.jpg,grid_images/IKEA_EKTORP_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/3070.jpg,grid_images/IKEA_PREBEN_grid.png,3 by 3 grid of images from 9 different camera angles
train/0544.jpg,grid_images/SS_070_grid.png,3 by 3 grid of images from 9 different camera angles
train/0215.jpg,grid_images/IKEA_FJELLSE_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/0555.jpg,grid_images/IKEA_KARLSTAD_3_grid.png,3 by 3 grid of images from 9 different camera angles
train/2485.jpg,grid_images/IKEA_KLAPPSTA_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/1147.jpg,grid_images/SS_138_grid.png,3 by 3 grid of images from 9 different camera angles
train/1614.jpg,grid_images/IKEA_TORSBY_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/0258.jpg,grid_images/IKEA_DOCKSTA_grid.png,3 by 3 grid of images from 9 different camera angles
train/0697.jpg,grid_images/IKEA_INGATORP_grid.png,3 by 3 grid of images from 9 different camera angles
train/0025.jpg,grid_images/IKEA_BESTA_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/0408.jpg,grid_images/SS_041_grid.png,3 by 3 grid of images from 9 different camera angles
train/1380.jpg,grid_images/IKEA_NORDEN_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/0633.jpg,grid_images/IKEA_LEIRVIK_grid.png,3 by 3 grid of images from 9 different camera angles
train/0100.png,grid_images/IKEA_URBAN_grid.png,3 by 3 grid of images from 9 different camera angles
train/1574.jpg,grid_images/IKEA_BERNHARD_grid.png,3 by 3 grid of images from 9 different camera angles
train/0929.jpg,grid_images/IKEA_KLIPPAN_1_grid.png,3 by 3 grid of images from 9 different camera angles
train/0266.jpg,grid_images/IKEA_EKTORP_2_grid.png,3 by 3 grid of images from 9 different camera angles
train/2188.jpg,grid_images/IKEA_JOKKMOKK_grid.png,3 by 3 grid of images from 9 different camera angles
train/1348.jpg,grid_images/SS_161_grid.png,3 by 3 grid of images from 9 different camera angles
train/0696.jpg,grid_images/IKEA_INGATORP_grid.png,3 by 3 grid of images from 9 different camera angles
train/0069.png,grid_images/IKEA_LACK_3_grid.png,3 by 3 grid of images from 9 different camera angles
